feature,importance
client_installments_AMT_INSTALMENT_mean_sum,6.0
client_installments_AMT_INSTALMENT_min_mean,9.8
client_installments_AMT_INSTALMENT_min_max,12.399999999999999
client_installments_AMT_INSTALMENT_min_min,31.599999999999998
client_installments_AMT_INSTALMENT_min_sum,12.399999999999999
client_installments_AMT_INSTALMENT_sum_mean,7.2
client_installments_AMT_INSTALMENT_sum_max,5.199999999999999
client_installments_AMT_INSTALMENT_sum_sum,4.8
client_installments_AMT_PAYMENT_mean_mean,5.3999999999999995
client_installments_AMT_PAYMENT_mean_max,13.000000000000002
client_installments_AMT_PAYMENT_mean_min,16.799999999999997
client_installments_AMT_PAYMENT_mean_sum,15.600000000000001
client_installments_AMT_PAYMENT_min_mean,31.6
client_installments_AMT_PAYMENT_min_max,20.799999999999997
client_installments_AMT_PAYMENT_min_min,28.4
client_installments_AMT_PAYMENT_min_sum,91.4
client_installments_AMT_PAYMENT_sum_mean,14.2
client_installments_AMT_PAYMENT_sum_max,11.0
client_installments_AMT_PAYMENT_sum_min,6.4
client_installments_AMT_PAYMENT_sum_sum,10.999999999999998
DOCUMENT_COUNT,10.2
NEW_DOC_KURT,36.0
EXT_SOURCES_PROD,16.8
EXT_SOURCES_WEIGHTED,12.399999999999999
EXT_SOURCES_MIN,50.8
EXT_SOURCES_MAX,22.799999999999997
EXT_SOURCES_MEAN,102.39999999999999
EXT_SOURCES_NANMEDIAN,44.8
EXT_SOURCES_VAR,4.2
DAYS_EMPLOYED_PERC,22.6
INCOME_CREDIT_PERC,15.2
INCOME_PER_PERSON,7.999999999999999
ANNUITY_INCOME_PERC,28.0
PAYMENT_RATE,161.39999999999998
CREDIT_TO_GOODS_RATIO,70.0
INCOME_TO_BIRTH_RATIO,13.8
ID_TO_BIRTH_RATIO,18.6
CAR_TO_BIRTH_RATIO,17.0
CAR_TO_EMPLOYED_RATIO,18.4
PHONE_TO_BIRTH_RATIO,17.2
APPS_EXT_SOURCE_STD,10.6
APP_SCORE1_TO_BIRTH_RATIO,73.39999999999999
APP_SCORE2_TO_BIRTH_RATIO,11.6
APP_SCORE3_TO_BIRTH_RATIO,27.4
APP_EXT_SOURCE_2*EXT_SOURCE_3*DAYS_BIRTH,9.200000000000001
APP_SCORE1_TO_FAM_CNT_RATIO,10.0
APP_SCORE1_TO_GOODS_RATIO,15.2
APP_SCORE1_TO_CREDIT_RATIO,18.2
APP_SCORE1_TO_SCORE3_RATIO,10.0
APP_SCORE2_TO_CREDIT_RATIO,18.2
APP_SCORE2_TO_REGION_RATING_RATIO,14.8
APP_SCORE2_TO_CITY_RATING_RATIO,21.8
APP_SCORE2_TO_POP_RATIO,9.8
APP_SCORE2_TO_PHONE_CHANGE_RATIO,18.8
APP_EXT_SOURCE_1*EXT_SOURCE_2,12.399999999999999
APP_EXT_SOURCE_1*EXT_SOURCE_3,10.200000000000001
APP_EXT_SOURCE_2*EXT_SOURCE_3,40.4
APP_EXT_SOURCE_1*DAYS_EMPLOYED,9.0
APP_EXT_SOURCE_2*DAYS_EMPLOYED,35.0
APP_EXT_SOURCE_3*DAYS_EMPLOYED,32.6
APPS_GOODS_INCOME_RATIO,21.8
APP_DAYS_EMPLOYED_DAYS_BIRTH_diff,62.599999999999994
